CASE	SEX	FILLER	GENRE	LENGTH
1	male	uhm	monolog	1014
2	female	silence	monolog	1188
3	female	silence	dialog	889
4	female	uhm	dialog	265
5	male	uh	dialog	465
6	female	uh	dialog	1278
7	male	silence	dialog	671
8	male	uhm	monolog	1079
9	female	uhm	monolog	643
10	male	uhm	monolog	1165
11	female	uh	monolog	586
12	male	uhm	dialog	1445
13	male	uhm	dialog	1334
14	male	uh	dialog	868
15	male	uhm	monolog	408
16	female	uhm	dialog	522
17	male	uh	monolog	842
18	female	uh	dialog	1233
19	female	silence	dialog	1539
20	female	uhm	monolog	533
21	female	silence	monolog	921
22	male	uhm	monolog	797
23	female	uhm	monolog	363
24	male	uh	dialog	516
25	male	uh	dialog	1354
26	male	uh	monolog	713
27	male	uh	dialog	674
28	male	uh	dialog	440
29	male	silence	dialog	1307
30	male	uh	dialog	1559
31	male	uh	monolog	446
32	female	silence	monolog	1186
33	male	uh	monolog	883
34	male	silence	monolog	854
35	male	uhm	monolog	799
36	male	uh	monolog	1469
37	female	uh	dialog	1081
38	female	silence	dialog	786
39	male	silence	monolog	550
40	female	uh	monolog	1526
41	male	silence	dialog	1012
42	male	uh	dialog	1201
43	female	uh	dialog	1211
44	female	uhm	dialog	1111
45	male	uhm	monolog	1363
46	female	silence	dialog	849
47	female	uhm	dialog	703
48	male	uh	dialog	298
49	female	uh	dialog	820
50	female	uhm	dialog	872
51	female	silence	dialog	639
52	female	uhm	dialog	1435
53	female	uhm	dialog	1182
54	female	silence	monolog	1096
55	female	silence	monolog	1390
56	female	silence	dialog	466
57	female	silence	monolog	1130
58	male	uhm	monolog	671
59	male	silence	dialog	347
60	female	uh	monolog	1117
61	female	silence	monolog	1136
62	female	uhm	monolog	389
63	male	uh	dialog	1340
64	female	silence	monolog	969
65	female	uh	dialog	824
66	male	silence	monolog	645
67	female	uhm	dialog	663
68	female	uh	dialog	471
69	female	uhm	dialog	465
70	male	uh	monolog	489
71	male	uh	dialog	891
72	male	uh	dialog	1498
73	female	uh	dialog	1426
74	male	uhm	dialog	1188
75	male	silence	monolog	369
76	female	uh	dialog	560
77	male	silence	monolog	1043
78	female	uh	monolog	827
79	male	silence	monolog	1464
80	male	silence	dialog	1360
81	female	uh	dialog	1050
82	female	silence	dialog	936
83	female	uhm	monolog	313
84	male	uhm	monolog	467
85	male	uh	monolog	733
86	female	silence	monolog	868
87	female	silence	monolog	1159
88	female	uh	monolog	540
89	female	silence	dialog	673
90	male	uh	dialog	906
91	male	uh	dialog	444
92	female	uhm	monolog	797
93	female	uhm	monolog	425
94	male	uh	dialog	631
95	female	uhm	dialog	1324
96	female	uh	dialog	257
97	female	uh	monolog	1126
98	male	silence	monolog	1382
99	male	silence	dialog	1058
100	male	uhm	monolog	1281
